Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-05-2019,,,,,,,,
Gegevens beschikbaar:,14-01-1993,tot:,05-04-2018,,,,,,,,
Datum: ,02-05-2019,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52D0201,001,52DP9012,193221,378361,3305,05-05-1992,05-05-1992,12-05-2016,3304,-1,3154,3054
B52D0201,001,52DP9012,193221,378361,3301,12-05-2016,12-05-2016,05-04-2018,3344,43,3204,3104


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B52D0201,001,29-05-2007,145,146,3159,,,,,,
B52D0201,001,14-06-2007,180,181,3124,,,,,,
B52D0201,001,28-06-2007,190,191,3114,,,,,,
B52D0201,001,18-07-2007,180,181,3124,,,,,,
B52D0201,001,31-07-2007,148,149,3156,,,,,,
B52D0201,001,13-08-2007,155,156,3149,,,,,,
B52D0201,001,29-08-2007,160,161,3144,,,,,,
B52D0201,001,14-09-2007,178,179,3126,,,,,,
B52D0201,001,27-09-2007,,,,D,,,,,
B52D0201,001,18-10-2007,181,182,3123,,,,,,
B52D0201,001,30-10-2007,170,171,3134,,,,,,
B52D0201,001,13-11-2007,135,136,3169,,,,,,
B52D0201,001,28-11-2007,129,130,3175,,,,,,
B52D0201,001,17-12-2007,107,108,3197,,,,,,
B52D0201,001,03-01-2008,111,112,3193,,,,,,
B52D0201,001,16-01-2008,98,99,3206,,,,,,
B52D0201,001,29-01-2008,95,96,3209,,,,,,
B52D0201,001,14-02-2008,96,97,3208,,,,,,
B52D0201,001,28-02-2008,109,110,3195,,,,,,
B52D0201,001,14-03-2008,101,102,3203,,,,,,
B52D0201,001,28-03-2008,82,83,3222,,,,,,
B52D0201,001,14-04-2008,99,100,3205,,,,,,
B52D0201,001,29-04-2008,91,92,3213,,,,,,
B52D0201,001,16-05-2008,151,152,3153,,,,,,
B52D0201,001,28-05-2008,158,159,3146,,,,,,
B52D0201,001,16-06-2008,172,173,3132,,,,,,
B52D0201,001,27-06-2008,198,199,3106,,,,,,
B52D0201,001,14-07-2008,194,195,3110,,,,,,
B52D0201,001,28-07-2008,192,193,3112,,,,,,
B52D0201,001,14-08-2008,190,191,3114,,,,,,
B52D0201,001,28-08-2008,202,203,3102,,,,,,
B52D0201,001,12-09-2008,,,,D,,,,,
B52D0201,001,29-09-2008,,,,D,,,,,
B52D0201,001,14-10-2008,,,,D,,,,,
B52D0201,001,28-10-2008,191,192,3113,,,,,,
B52D0201,001,14-11-2008,176,177,3128,,,,,,
B52D0201,001,28-11-2008,158,159,3146,,,,,,
B52D0201,001,16-12-2008,152,153,3152,,,,,,
B52D0201,001,14-01-2009,148,149,3156,,,,,,
B52D0201,001,28-01-2009,120,121,3184,,,,,,
B52D0201,001,13-02-2009,96,97,3208,,,,,,
B52D0201,001,02-03-2009,120,121,3184,,,,,,
B52D0201,001,13-03-2009,96,97,3208,,,,,,
B52D0201,001,30-03-2009,75,76,3229,,,,,,
B52D0201,001,14-04-2009,111,112,3193,,,,,,
B52D0201,001,29-04-2009,123,124,3181,,,,,,
B52D0201,001,13-05-2009,154,155,3150,,,,,,
B52D0201,001,27-05-2009,185,186,3119,,,,,,
B52D0201,001,16-06-2009,178,179,3126,,,,,,
B52D0201,001,29-06-2009,202,203,3102,,,,,,
B52D0201,001,14-07-2009,,,,D,,,,,
B52D0201,001,28-08-2009,,,,D,,,,,
B52D0201,001,13-09-2009,,,,D,,,,,
B52D0201,001,15-09-2009,201,202,3103,,,,,,
B52D0201,001,29-09-2009,,,,D,,,,,
B52D0201,001,14-10-2009,,,,D,,,,,
B52D0201,001,28-10-2009,,,,D,,,,,
B52D0201,001,13-11-2009,180,181,3124,,,,,,
B52D0201,001,27-11-2009,150,151,3154,,,,,,
B52D0201,001,13-01-2010,110,111,3194,,,,,,
B52D0201,001,27-01-2010,104,105,3200,,,,,,
B52D0201,001,11-02-2010,94,95,3210,,,,,,
B52D0201,001,02-03-2010,80,81,3224,,,,,,
B52D0201,001,16-03-2010,98,99,3206,,,,,,
B52D0201,001,29-03-2010,79,80,3225,,,,,,
B52D0201,001,15-04-2010,102,103,3202,,,,,,
B52D0201,001,28-04-2010,122,123,3182,,,,,,
B52D0201,001,17-05-2010,121,122,3183,,,,,,
B52D0201,001,27-05-2010,140,141,3164,,,,,,
B52D0201,001,15-06-2010,177,178,3127,,,,,,
B52D0201,001,13-07-2010,,,,D,,,,,
B52D0201,001,28-07-2010,,,,D,,,,,
B52D0201,001,13-08-2010,,,,D,,,,,
B52D0201,001,27-08-2010,200,201,3104,,,,,,
B52D0201,001,15-09-2010,156,157,3148,,,,,,
B52D0201,001,28-09-2010,168,169,3136,,,,,,
B52D0201,001,14-10-2010,168,169,3136,,,,,,
B52D0201,001,28-10-2010,157,158,3147,,,,,,
B52D0201,001,17-11-2010,78,79,3226,,,,,,
B52D0201,001,30-11-2010,123,124,3181,,,,,,
B52D0201,001,14-12-2010,102,103,3202,,,,,,
B52D0201,001,28-01-2011,90,91,3214,,,,,,
B52D0201,001,14-02-2011,70,71,3234,,,,,,
B52D0201,001,28-02-2011,65,66,3239,,,,,,
B52D0201,001,14-03-2011,107,108,3197,,,,,,
B52D0201,001,28-03-2011,110,111,3194,,,,,,
B52D0201,001,15-04-2011,121,122,3183,,,,,,
B52D0201,001,28-04-2011,148,149,3156,,,,,,
B52D0201,001,13-05-2011,180,181,3124,,,,,,
B52D0201,001,27-05-2011,200,201,3104,,,,,,
B52D0201,001,14-06-2011,,,,D,,,,,
B52D0201,001,28-06-2011,,,,D,,,,,
B52D0201,001,14-07-2011,,,,D,,,,,
B52D0201,001,28-07-2011,,,,D,,,,,
B52D0201,001,15-08-2011,200,201,3104,,,,,,
B52D0201,001,29-08-2011,170,171,3134,,,,,,
B52D0201,001,14-09-2011,178,179,3126,,,,,,
B52D0201,001,28-09-2011,196,197,3108,,,,,,
B52D0201,001,14-10-2011,167,168,3137,,,,,,
B52D0201,001,28-10-2011,172,173,3132,,,,,,
B52D0201,001,14-11-2011,180,181,3124,,,,,,
B52D0201,001,28-11-2011,182,183,3122,,,,,,
B52D0201,001,14-12-2011,152,153,3152,,,,,,
B52D0201,001,13-01-2012,92,93,3212,,,,,,
B52D0201,001,13-09-2012,,,,D,,,,,
B52D0201,001,27-09-2012,,,,D,,,,,
B52D0201,001,26-10-2012,192,193,3112,,,,,,
B52D0201,001,14-11-2012,188,189,3116,,,,,,
B52D0201,001,28-11-2012,175,176,3129,,,,,,
B52D0201,001,14-12-2012,148,149,3156,,,,,,
B52D0201,001,15-01-2013,107,108,3197,,,,,,
B52D0201,001,04-02-2013,75,76,3229,,,,,,
B52D0201,001,15-02-2013,97,98,3207,,,,,,
B52D0201,001,28-02-2013,100,101,3204,,,,,,
B52D0201,001,14-03-2013,104,105,3200,,,,,,
B52D0201,001,28-03-2013,106,107,3198,,,,,,
B52D0201,001,15-04-2013,108,109,3196,,,,,,
B52D0201,001,26-04-2013,120,121,3184,,,,,,
B52D0201,001,15-05-2013,140,141,3164,,,,,,
B52D0201,001,28-05-2013,142,143,3162,,,,,,
B52D0201,001,14-06-2013,171,172,3133,,,,,,
B52D0201,001,26-06-2013,188,189,3116,,,,,,
B52D0201,001,15-07-2013,,,,N,,,,,
B52D0201,001,30-07-2013,,,,D,,,,,
B52D0201,001,15-08-2013,,,,D,,,,,
B52D0201,001,30-08-2013,,,,D,,,,,
B52D0201,001,16-09-2013,,,,D,,,,,
B52D0201,001,30-09-2013,,,,D,,,,,
B52D0201,001,15-10-2013,,,,D,,,,,
B52D0201,001,31-10-2013,174,175,3130,,,,,,
B52D0201,001,14-11-2013,155,156,3149,,,,,,
B52D0201,001,29-11-2013,152,153,3152,,,,,,
B52D0201,001,16-12-2013,147,148,3157,,,,,,
B52D0201,001,31-12-2013,93,94,3211,,,,,,
B52D0201,001,28-01-2014,91,92,3213,,,,,,
