,user,message
2018-05-26 13:20:45,user1,1
2018-05-26 13:21:47,user2,1
2018-05-26 13:21:51,user2,1
2018-05-26 13:22:39,user1,1
2018-05-26 13:39:49,user1,1
2018-05-26 13:39:54,user1,1
2018-05-26 13:39:58,user2,1
2018-05-26 13:40:12,user1,1
2018-05-26 13:41:21,user2,1
2018-05-26 13:41:41,user2,1
2018-05-26 13:48:45,user2,1
2018-05-26 13:48:57,user2,1
2018-05-26 13:49:31,user2,1
2018-05-26 13:49:51,user2,1
2018-05-26 13:50:51,user2,1
2018-05-26 13:56:23,user1,1
2018-05-26 13:56:55,user1,1
2018-05-26 13:57:54,user1,1
2018-05-26 14:05:28,user2,1
2018-05-26 14:05:43,user2,1
2018-05-26 14:35:44,user1,1
2018-05-26 14:35:45,user1,1
2018-05-26 14:40:33,user1,1
2018-05-26 14:46:14,user2,1
2018-05-26 15:41:47,user2,1
2018-05-26 15:43:02,user1,1
2018-05-27 14:59:02,user2,1
2018-05-27 14:59:39,user2,1
2018-05-27 16:16:38,user1,1
2018-05-27 16:17:16,user1,1
2018-05-27 16:18:36,user2,1
2018-05-27 16:23:54,user2,1
2018-05-27 16:25:26,user1,1
2018-05-27 16:25:30,user1,1
2018-05-27 16:25:36,user1,1
2018-05-27 19:18:25,user2,1
2018-05-27 19:18:45,user2,1
2018-05-27 19:31:23,user1,1
2018-05-27 19:31:35,user1,1
2018-05-27 19:31:43,user1,1
2018-05-27 19:31:53,user1,1
2018-05-27 23:07:44,user2,1
2018-05-27 23:08:07,user2,1
2018-05-27 23:42:12,user2,1
2018-05-27 23:42:34,user2,1
2018-05-28 09:50:22,user1,1
2018-05-28 09:52:45,user2,1
2018-05-28 09:53:01,user2,1
2018-05-28 17:04:50,user2,1
2018-05-28 17:09:11,user1,1
2018-05-28 17:13:59,user2,1
2018-05-28 23:22:50,user2,1
2018-05-28 23:35:42,user1,1
2018-05-28 23:35:56,user1,1
2018-05-28 23:36:11,user1,1
2018-05-28 23:36:17,user1,1
2018-05-28 23:52:15,user2,1
2018-05-28 23:52:38,user2,1
2018-05-29 09:09:19,user2,1
2018-05-29 11:21:45,user1,1
2018-05-29 13:38:17,user2,1
2018-05-29 15:14:17,user2,1
2018-05-29 15:14:56,user1,1
2018-05-29 15:15:09,user1,1
2018-05-29 15:16:19,user2,1
2018-05-29 15:16:27,user2,1
2018-05-29 15:17:21,user2,1
2018-05-29 15:17:36,user2,1
2018-05-29 15:17:48,user2,1
2018-05-29 15:18:25,user2,1
2018-05-29 15:18:35,user2,1
2018-05-29 15:18:41,user2,1
2018-05-29 15:18:56,user2,1
2018-05-29 15:35:06,user1,1
2018-05-29 16:29:46,user2,1
2018-05-29 18:17:26,user2,1
2018-05-29 18:35:15,user1,1
2018-05-29 18:35:28,user1,1
2018-05-30 21:21:50,user2,1
2018-05-30 23:49:12,user2,1
2018-05-30 23:57:49,user1,1
2018-05-31 00:12:32,user1,1
2018-05-31 12:32:51,user2,1
2018-05-31 12:33:06,user2,1
2018-06-01 10:29:54,user1,1
2018-06-01 10:30:10,user2,1
2018-06-01 10:30:18,user2,1
2018-06-01 10:30:27,user2,1
2018-06-01 10:30:35,user2,1
2018-06-01 10:30:46,user1,1
2018-06-01 10:31:22,user1,1
2018-06-01 10:31:37,user2,1
2018-06-01 10:32:08,user2,1
2018-06-01 10:40:53,user2,1
2018-06-01 11:56:02,user2,1
2018-06-01 12:05:03,user1,1
2018-06-01 12:13:45,user2,1
2018-06-01 12:15:41,user1,1
2018-06-01 12:16:31,user2,1
2018-06-01 12:16:33,user1,1
2018-06-01 12:16:36,user2,1
2018-06-01 12:16:40,user2,1
2018-06-01 12:16:48,user2,1
2018-06-01 12:16:50,user2,1
2018-06-01 12:23:21,user1,1
2018-06-01 12:28:45,user2,1
2018-06-01 12:35:17,user1,1
2018-06-01 12:35:22,user1,1
2018-06-01 13:50:26,user2,1
2018-06-01 17:36:18,user2,1
2018-06-01 17:37:07,user1,1
2018-06-01 18:01:04,user1,1
2018-06-01 18:21:55,user1,1
2018-06-01 18:24:10,user1,1
2018-06-01 18:24:18,user1,1
2018-06-01 18:31:15,user2,1
2018-06-01 18:31:40,user2,1
2018-06-01 18:38:44,user1,1
2018-06-01 18:40:59,user2,1
2018-06-01 18:56:53,user1,1
2018-06-01 18:57:00,user1,1
2018-06-01 18:57:40,user2,1
2018-06-01 18:58:09,user2,1
2018-06-01 19:03:10,user1,1
2018-06-01 19:06:37,user2,1
2018-06-01 19:06:39,user2,1
2018-06-01 19:06:43,user2,1
2018-06-02 15:51:25,user2,1
2018-06-02 15:51:53,user2,1
2018-06-02 15:52:08,user2,1
2018-06-02 15:52:14,user2,1
2018-06-02 15:52:18,user2,1
2018-06-02 15:53:31,user1,1
2018-06-02 15:53:51,user2,1
2018-06-02 15:54:08,user1,1
2018-06-02 15:54:16,user2,1
2018-06-02 15:55:06,user2,1
2018-06-02 18:02:54,user2,1
2018-06-02 18:03:01,user2,1
2018-06-02 18:03:13,user2,1
2018-06-02 18:16:56,user2,1
2018-06-02 18:21:45,user1,1
2018-06-03 20:32:06,user1,1
2018-06-03 20:34:35,user1,1
2018-06-03 22:40:09,user2,1
2018-06-04 11:06:29,user1,1
2018-06-04 16:23:51,user2,1
2018-06-04 16:38:00,user1,1
2018-06-04 16:46:09,user2,1
2018-06-04 21:21:21,user2,1
2018-06-04 21:21:53,user2,1
2018-06-04 22:35:54,user2,1
2018-06-05 10:24:18,user2,1
2018-06-05 10:33:04,user2,1
2018-06-05 17:32:23,user2,1
2018-06-05 17:34:40,user1,1
2018-06-05 17:43:28,user2,1
2018-06-05 23:25:19,user2,1
2018-06-05 23:56:12,user1,1
2018-06-06 00:08:36,user2,1
2018-06-06 00:08:41,user2,1
2018-06-06 00:43:19,user1,1
2018-06-06 11:08:33,user1,1
2018-06-06 11:09:00,user2,1
2018-06-06 23:29:52,user2,1
2018-06-06 23:30:07,user1,1
2018-06-06 23:33:44,user1,1
2018-06-07 11:42:11,user2,1
2018-06-07 11:42:19,user2,1
2018-06-07 12:12:35,user1,1
2018-06-07 14:22:13,user2,1
2018-06-07 15:00:26,user1,1
2018-06-07 15:29:07,user2,1
2018-06-07 15:29:12,user2,1
2018-06-07 17:25:23,user2,1
2018-06-07 17:25:37,user2,1
2018-06-07 17:25:51,user2,1
2018-06-07 17:25:59,user1,1
2018-06-07 17:26:32,user1,1
2018-06-07 17:26:44,user2,1
2018-06-07 17:46:19,user2,1
2018-06-07 17:47:07,user1,1
2018-06-07 19:58:46,user1,1
2018-06-07 20:53:47,user2,1
2018-06-07 20:57:52,user1,1
2018-06-07 20:58:09,user1,1
2018-06-07 20:58:15,user1,1
2018-06-07 20:58:47,user2,1
2018-06-07 21:13:29,user2,1
2018-06-07 21:23:01,user2,1
2018-06-08 14:00:43,user1,1
2018-06-08 14:11:14,user2,1
2018-06-08 14:13:31,user2,1
2018-06-08 14:13:37,user2,1
2018-06-08 14:13:42,user2,1
2018-06-08 14:18:53,user1,1
2018-06-08 14:19:02,user2,1
2018-06-08 14:24:23,user1,1
2018-06-08 14:54:25,user2,1
2018-06-08 14:54:27,user2,1
2018-06-08 16:07:51,user1,1
2018-06-08 16:56:54,user1,1
2018-06-08 16:57:14,user1,1
2018-06-10 21:46:53,user1,1
2018-06-10 22:12:50,user2,1
2018-06-10 22:12:53,user2,1
2018-06-10 22:14:33,user2,1
2018-06-10 22:14:49,user2,1
2018-06-10 22:36:29,user2,1
2018-06-10 22:41:47,user1,1
2018-06-11 20:26:11,user1,1
2018-06-11 21:26:04,user2,1
2018-06-11 21:26:16,user2,1
2018-06-11 21:26:20,user2,1
2018-06-11 21:26:26,user2,1
2018-06-11 21:36:54,user1,1
2018-06-11 21:36:59,user1,1
2018-06-11 22:11:44,user2,1
2018-06-11 22:11:56,user2,1
2018-06-11 22:44:52,user1,1
2018-06-11 22:48:11,user2,1
2018-06-11 23:07:55,user1,1
2018-06-12 12:53:47,user2,1
2018-06-12 12:53:49,user2,1
2018-06-12 12:55:43,user1,1
2018-06-12 12:55:47,user1,1
2018-06-12 13:41:26,user2,1
2018-06-12 14:23:22,user2,1
2018-06-12 14:24:00,user2,1
2018-06-12 14:24:02,user2,1
2018-06-12 15:27:38,user2,1
2018-06-12 15:27:41,user2,1
2018-06-12 15:27:45,user2,1
2018-06-12 15:27:49,user2,1
2018-06-12 15:31:07,user1,1
2018-06-12 17:33:34,user2,1
2018-06-12 17:43:17,user1,1
2018-06-13 17:01:36,user1,1
2018-06-13 17:10:41,user2,1
2018-06-13 17:10:48,user2,1
2018-06-13 17:10:58,user2,1
2018-06-13 17:42:12,user1,1
2018-06-14 14:25:17,user2,1
2018-06-14 14:55:15,user2,1
2018-06-14 14:55:56,user1,1
2018-06-14 14:56:13,user2,1
2018-06-14 14:56:23,user2,1
2018-06-14 14:56:30,user2,1
2018-06-14 14:56:43,user1,1
2018-06-14 14:56:50,user2,1
2018-06-14 14:57:04,user1,1
2018-06-14 14:57:12,user2,1
2018-06-14 14:57:26,user2,1
2018-06-14 15:17:33,user2,1
2018-06-15 10:45:50,user1,1
2018-06-15 12:41:58,user2,1
2018-06-15 12:42:25,user2,1
2018-06-15 12:53:16,user1,1
2018-06-15 12:53:36,user1,1
2018-06-15 12:53:58,user2,1
2018-06-15 12:54:05,user2,1
2018-06-15 22:29:42,user2,1
2018-06-15 22:30:23,user2,1
2018-06-15 22:30:30,user2,1
2018-06-16 00:10:08,user1,1
2018-06-16 00:10:30,user1,1
2018-06-16 00:10:33,user1,1
2018-06-16 00:10:55,user1,1
2018-06-16 00:11:05,user1,1
2018-06-16 08:02:27,user2,1
2018-06-16 08:03:02,user2,1
2018-06-16 08:03:56,user1,1
2018-06-16 08:04:02,user1,1
2018-06-16 08:04:08,user1,1
2018-06-16 08:04:17,user2,1
2018-06-16 08:04:45,user2,1
2018-06-16 08:05:04,user2,1
2018-06-16 08:05:14,user2,1
2018-06-16 08:05:31,user2,1
2018-06-16 08:05:36,user1,1
2018-06-16 08:05:42,user1,1
2018-06-16 08:06:05,user1,1
2018-06-16 08:06:22,user2,1
2018-06-16 11:48:20,user1,1
2018-06-16 12:07:24,user2,1
2018-06-16 12:14:58,user2,1
2018-06-16 15:31:01,user2,1
2018-06-16 18:09:50,user1,1
2018-06-16 18:36:30,user2,1
2018-06-16 18:37:04,user2,1
2018-06-16 18:37:26,user2,1
2018-06-16 18:38:29,user2,1
2018-06-16 18:38:39,user2,1
2018-06-16 18:39:13,user2,1
2018-06-16 18:39:49,user2,1
2018-06-16 18:40:18,user2,1
2018-06-16 18:50:27,user2,1
2018-06-16 20:31:18,user1,1
2018-06-16 20:32:06,user1,1
2018-06-16 21:45:37,user2,1
2018-06-17 00:55:46,user1,1
2018-06-17 00:56:03,user1,1
2018-06-17 14:49:38,user2,1
2018-06-17 14:49:52,user2,1
2018-06-17 14:49:57,user2,1
2018-06-17 14:50:04,user2,1
2018-06-17 14:50:09,user2,1
2018-06-17 14:50:15,user2,1
2018-06-17 14:51:43,user1,1
2018-06-17 14:52:20,user2,1
2018-06-17 14:52:43,user2,1
2018-06-17 14:53:16,user1,1
2018-06-17 14:53:27,user1,1
2018-06-17 14:53:58,user2,1
2018-06-17 14:54:09,user2,1
2018-06-17 14:54:22,user2,1
2018-06-17 14:54:26,user1,1
2018-06-18 12:15:51,user2,1
2018-06-18 12:27:12,user1,1
2018-06-18 12:37:35,user1,1
2018-06-18 13:32:39,user2,1
2018-06-18 13:32:56,user2,1
2018-06-18 13:34:44,user1,1
2018-06-18 15:47:53,user1,1
2018-06-18 16:02:55,user2,1
2018-06-18 16:03:11,user2,1
2018-06-18 16:38:26,user1,1
2018-06-18 17:13:01,user2,1
2018-06-18 17:13:10,user2,1
2018-06-18 18:53:23,user1,1
2018-06-18 18:53:30,user1,1
2018-06-19 14:18:56,user2,1
2018-06-19 14:48:35,user1,1
2018-06-19 14:48:54,user1,1
2018-06-19 15:10:27,user2,1
2018-06-19 15:10:38,user2,1
2018-06-19 19:06:31,user2,1
2018-06-19 20:55:15,user2,1
2018-06-19 20:55:57,user1,1
2018-06-19 20:57:09,user1,1
2018-06-19 22:54:24,user2,1
2018-06-19 22:54:53,user2,1
2018-06-19 23:23:05,user1,1
2018-06-20 09:03:56,user2,1
2018-06-20 09:04:06,user2,1
2018-06-20 13:05:07,user1,1
2018-06-20 13:05:07,user1,1
2018-06-20 13:05:11,user1,1
2018-06-20 15:34:03,user2,1
2018-06-20 15:35:35,user1,1
2018-06-20 15:37:11,user2,1
2018-06-20 22:00:25,user1,1
2018-06-20 22:01:20,user2,1
2018-06-21 18:36:41,user1,1
2018-06-21 19:02:56,user2,1
2018-06-21 19:03:14,user2,1
2018-06-21 19:03:30,user2,1
2018-06-21 20:00:13,user1,1
2018-06-21 20:00:28,user1,1
2018-06-21 20:01:53,user2,1
2018-06-21 20:01:59,user2,1
2018-06-22 15:40:43,user1,1
2018-06-22 15:40:46,user1,1
2018-06-22 16:06:18,user2,1
2018-06-22 16:06:35,user2,1
2018-06-22 16:06:45,user1,1
2018-06-22 16:07:02,user2,1
2018-06-22 16:07:21,user2,1
2018-06-22 16:07:44,user1,1
2018-06-22 16:10:21,user2,1
2018-06-22 16:10:50,user2,1
2018-06-23 13:29:55,user1,1
2018-06-23 16:16:19,user1,1
2018-06-23 19:19:57,user1,1
2018-06-23 19:20:59,user2,1
2018-06-24 13:43:55,user2,1
2018-06-24 13:44:00,user2,1
2018-06-24 13:45:49,user1,1
2018-06-24 13:46:04,user2,1
2018-06-24 13:47:19,user2,1
