Datum,Neerslag [mm]
6 apr. 2020,0.1
7 apr. 2020,0
8 apr. 2020,0
9 apr. 2020,0
10 apr. 2020,0
11 apr. 2020,0
12 apr. 2020,0.1
13 apr. 2020,0
14 apr. 2020,0
15 apr. 2020,0
16 apr. 2020,0
17 apr. 2020,0
18 apr. 2020,1
19 apr. 2020,0
20 apr. 2020,0
21 apr. 2020,0
22 apr. 2020,0
23 apr. 2020,0
24 apr. 2020,0
25 apr. 2020,0
26 apr. 2020,0
27 apr. 2020,0
28 apr. 2020,1.7
29 apr. 2020,2.5
30 apr. 2020,7.3
1 mei. 2020,2.9
2 mei. 2020,3.9
3 mei. 2020,0.7
4 mei. 2020,0.4
5 mei. 2020,0
6 mei. 2020,0
7 mei. 2020,0
8 mei. 2020,0
9 mei. 2020,0
10 mei. 2020,0
11 mei. 2020,0.6
12 mei. 2020,0
13 mei. 2020,0.2
14 mei. 2020,0
15 mei. 2020,0
16 mei. 2020,0
17 mei. 2020,0
18 mei. 2020,0
19 mei. 2020,0
20 mei. 2020,0
21 mei. 2020,0
22 mei. 2020,0.2
23 mei. 2020,0
24 mei. 2020,2.7
25 mei. 2020,0
26 mei. 2020,0
27 mei. 2020,0
28 mei. 2020,0
29 mei. 2020,0
30 mei. 2020,0
31 mei. 2020,0
1 jun. 2020,0
2 jun. 2020,0
3 jun. 2020,0
4 jun. 2020,3
5 jun. 2020,16.1
6 jun. 2020,4.4
7 jun. 2020,3.2
8 jun. 2020,0.8
9 jun. 2020,0
10 jun. 2020,0.4
11 jun. 2020,2.8
12 jun. 2020,6.7
13 jun. 2020,4.2
14 jun. 2020,0.2
15 jun. 2020,0
16 jun. 2020,1.2
17 jun. 2020,6.4
18 jun. 2020,10
19 jun. 2020,0
20 jun. 2020,0
21 jun. 2020,0
22 jun. 2020,0
23 jun. 2020,0
24 jun. 2020,0
25 jun. 2020,0
26 jun. 2020,3.4
27 jun. 2020,2.1
28 jun. 2020,0.1
29 jun. 2020,0
30 jun. 2020,12.6
1 jul. 2020,1.3
2 jul. 2020,4
3 jul. 2020,0
4 jul. 2020,10
5 jul. 2020,0.4
6 jul. 2020,6.3
7 jul. 2020,0.3
8 jul. 2020,5
9 jul. 2020,7.1
10 jul. 2020,2.4
11 jul. 2020,0
12 jul. 2020,0
13 jul. 2020,0
14 jul. 2020,5.2
15 jul. 2020,0
16 jul. 2020,1.9
17 jul. 2020,0
18 jul. 2020,0
19 jul. 2020,0.6
20 jul. 2020,0
21 jul. 2020,0
22 jul. 2020,0
23 jul. 2020,0
24 jul. 2020,0.6
25 jul. 2020,4.2
26 jul. 2020,1.8
27 jul. 2020,0
28 jul. 2020,0.1
29 jul. 2020,0
30 jul. 2020,0
31 jul. 2020,0
1 aug. 2020,0.4
2 aug. 2020,0
3 aug. 2020,0.3
4 aug. 2020,0
5 aug. 2020,0
6 aug. 2020,0
7 aug. 2020,0
8 aug. 2020,0
9 aug. 2020,0
10 aug. 2020,0
11 aug. 2020,0
12 aug. 2020,0.3
13 aug. 2020,0.2
14 aug. 2020,0.1
15 aug. 2020,0.4
16 aug. 2020,29.7
17 aug. 2020,1.1
18 aug. 2020,0.1
19 aug. 2020,0
20 aug. 2020,3.5
21 aug. 2020,0
22 aug. 2020,2.7
23 aug. 2020,8.1
24 aug. 2020,7.3
25 aug. 2020,2.1
26 aug. 2020,9.5
27 aug. 2020,1.4
28 aug. 2020,14.5
29 aug. 2020,1.4
30 aug. 2020,5.7
31 aug. 2020,0
1 sep. 2020,0
2 sep. 2020,0
3 sep. 2020,12.2
4 sep. 2020,2.1
5 sep. 2020,8.6
6 sep. 2020,1.2
7 sep. 2020,0
8 sep. 2020,0
9 sep. 2020,0.5
10 sep. 2020,0
11 sep. 2020,0
12 sep. 2020,0
13 sep. 2020,0
14 sep. 2020,0
15 sep. 2020,0
16 sep. 2020,0
17 sep. 2020,0
18 sep. 2020,0
19 sep. 2020,0
20 sep. 2020,0
21 sep. 2020,0
22 sep. 2020,0
23 sep. 2020,8
24 sep. 2020,6.7
25 sep. 2020,4.4
26 sep. 2020,11
27 sep. 2020,3.4
28 sep. 2020,2.8
29 sep. 2020,2.8
30 sep. 2020,1.7
1 okt. 2020,7.6
2 okt. 2020,0.1
3 okt. 2020,6.6
4 okt. 2020,1.7
5 okt. 2020,5.8
6 okt. 2020,8.7
7 okt. 2020,4.1
8 okt. 2020,13.4
9 okt. 2020,5.2
10 okt. 2020,9.9
11 okt. 2020,4.4
12 okt. 2020,0
13 okt. 2020,0
14 okt. 2020,0
15 okt. 2020,0
16 okt. 2020,0
17 okt. 2020,0
18 okt. 2020,0
19 okt. 2020,0.2
20 okt. 2020,0.3
21 okt. 2020,8.6
22 okt. 2020,0.5
23 okt. 2020,0
24 okt. 2020,0.2
25 okt. 2020,4.1
26 okt. 2020,0.1
27 okt. 2020,1.8
28 okt. 2020,11.6
29 okt. 2020,7.6
30 okt. 2020,2.6
31 okt. 2020,2.7
1 nov. 2020,3.8
2 nov. 2020,2
3 nov. 2020,0.6
4 nov. 2020,0
5 nov. 2020,0
6 nov. 2020,0
7 nov. 2020,0
8 nov. 2020,0
9 nov. 2020,0
10 nov. 2020,0
11 nov. 2020,0
12 nov. 2020,12.4
13 nov. 2020,0.2
14 nov. 2020,1.5
15 nov. 2020,7.7
16 nov. 2020,2.3
17 nov. 2020,0.1
18 nov. 2020,0.3
19 nov. 2020,7
20 nov. 2020,0.1
21 nov. 2020,0.3
22 nov. 2020,3.2
23 nov. 2020,0
24 nov. 2020,0
25 nov. 2020,0
26 nov. 2020,5.3
27 nov. 2020,2.7
28 nov. 2020,0
29 nov. 2020,0
30 nov. 2020,8.9
1 dec. 2020,7.2
2 dec. 2020,0
3 dec. 2020,3.7
4 dec. 2020,1.2
5 dec. 2020,0
6 dec. 2020,0
7 dec. 2020,8.3
8 dec. 2020,0
9 dec. 2020,0
10 dec. 2020,0
11 dec. 2020,1.3
12 dec. 2020,1.2
13 dec. 2020,1.3
14 dec. 2020,3.2
15 dec. 2020,0.6
16 dec. 2020,0.1
17 dec. 2020,4.2
18 dec. 2020,0
19 dec. 2020,0.3
20 dec. 2020,0
21 dec. 2020,21.2
22 dec. 2020,5.6
23 dec. 2020,16.7
24 dec. 2020,3.6
25 dec. 2020,0
26 dec. 2020,1.2
27 dec. 2020,13
28 dec. 2020,5
29 dec. 2020,4.2
30 dec. 2020,0.9
31 dec. 2020,2.9
1 jan. 2021,0
2 jan. 2021,0.3
3 jan. 2021,0.1
4 jan. 2021,1.1
5 jan. 2021,0.1
6 jan. 2021,0.1
7 jan. 2021,7.9
8 jan. 2021,0.4
9 jan. 2021,0.5
10 jan. 2021,0
11 jan. 2021,1.2
12 jan. 2021,15.9
13 jan. 2021,0.8
14 jan. 2021,0
15 jan. 2021,0
16 jan. 2021,2.9
17 jan. 2021,2.2
18 jan. 2021,0.2
19 jan. 2021,15.6
20 jan. 2021,0
