Datum,Neerslag [mm]
31 dec. 2019,0
1 jan. 2020,0
2 jan. 2020,0
3 jan. 2020,3.1
4 jan. 2020,0.1
5 jan. 2020,0
6 jan. 2020,0.5
7 jan. 2020,0.1
8 jan. 2020,3.5
9 jan. 2020,3.6
10 jan. 2020,0.4
11 jan. 2020,0
12 jan. 2020,0.9
13 jan. 2020,0.1
14 jan. 2020,7.7
15 jan. 2020,3.1
16 jan. 2020,0
17 jan. 2020,0.5
18 jan. 2020,1.6
19 jan. 2020,0.3
20 jan. 2020,0
21 jan. 2020,0
22 jan. 2020,0.1
23 jan. 2020,0
24 jan. 2020,0
25 jan. 2020,0
26 jan. 2020,1.4
27 jan. 2020,7.9
28 jan. 2020,4
29 jan. 2020,0.2
30 jan. 2020,1.4
31 jan. 2020,0
1 feb. 2020,0.4
2 feb. 2020,6.5
3 feb. 2020,3.2
4 feb. 2020,4.8
5 feb. 2020,0
6 feb. 2020,0
7 feb. 2020,0
8 feb. 2020,0.9
9 feb. 2020,6.6
10 feb. 2020,5
11 feb. 2020,0.3
12 feb. 2020,0
13 feb. 2020,17.2
14 feb. 2020,0
15 feb. 2020,0
16 feb. 2020,12.3
17 feb. 2020,2.6
18 feb. 2020,1.2
19 feb. 2020,0.9
20 feb. 2020,5.5
21 feb. 2020,0
22 feb. 2020,0.5
23 feb. 2020,25.7
24 feb. 2020,6.2
25 feb. 2020,5.5
26 feb. 2020,8.4
27 feb. 2020,5.1
28 feb. 2020,8
29 feb. 2020,1.9
1 mrt. 2020,0.1
2 mrt. 2020,8.9
3 mrt. 2020,2.2
4 mrt. 2020,0.9
5 mrt. 2020,12.3
6 mrt. 2020,1.6
7 mrt. 2020,0
8 mrt. 2020,0.6
9 mrt. 2020,3.8
10 mrt. 2020,16.1
11 mrt. 2020,4.8
12 mrt. 2020,2.1
13 mrt. 2020,3.1
14 mrt. 2020,0.2
15 mrt. 2020,0
16 mrt. 2020,0
17 mrt. 2020,0
18 mrt. 2020,0
19 mrt. 2020,0.1
20 mrt. 2020,0
21 mrt. 2020,0
22 mrt. 2020,0
23 mrt. 2020,0
24 mrt. 2020,0
25 mrt. 2020,0
26 mrt. 2020,0
27 mrt. 2020,0
28 mrt. 2020,0
29 mrt. 2020,0
30 mrt. 2020,0.1
31 mrt. 2020,0
1 apr. 2020,0
2 apr. 2020,0
3 apr. 2020,0
4 apr. 2020,0
5 apr. 2020,0
6 apr. 2020,0.2
7 apr. 2020,0
8 apr. 2020,0
9 apr. 2020,0
10 apr. 2020,0
11 apr. 2020,0
12 apr. 2020,0
13 apr. 2020,0
14 apr. 2020,0
15 apr. 2020,0
16 apr. 2020,0
17 apr. 2020,0
18 apr. 2020,1.3
19 apr. 2020,0
20 apr. 2020,0
21 apr. 2020,0
22 apr. 2020,0
23 apr. 2020,0
24 apr. 2020,0
25 apr. 2020,0
26 apr. 2020,0
27 apr. 2020,0
28 apr. 2020,3.4
29 apr. 2020,5.1
30 apr. 2020,3
1 mei. 2020,1.4
2 mei. 2020,0.4
3 mei. 2020,0.9
4 mei. 2020,0.7
5 mei. 2020,0
6 mei. 2020,0
7 mei. 2020,0
8 mei. 2020,0
9 mei. 2020,0
10 mei. 2020,0
11 mei. 2020,0
12 mei. 2020,0
13 mei. 2020,0.7
14 mei. 2020,0
15 mei. 2020,0
16 mei. 2020,0
17 mei. 2020,0
18 mei. 2020,0
19 mei. 2020,0
20 mei. 2020,0
21 mei. 2020,0
22 mei. 2020,0.5
23 mei. 2020,0
24 mei. 2020,1.8
25 mei. 2020,0
26 mei. 2020,0
27 mei. 2020,0
28 mei. 2020,0
29 mei. 2020,0
30 mei. 2020,0
31 mei. 2020,0
1 jun. 2020,0
2 jun. 2020,0
3 jun. 2020,0
4 jun. 2020,0.3
